"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"10-Feb-2021 7:55:21 pm UTC","14992905562","Order
","404-8943028-9534723","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHUBANESWAR","ODISHA","751024","3,388.98","11.31","-11.31","610.02","0","0","-33.89","-259.55","-201.78","-35.40","0","3,468.38"
"10-Feb-2021 7:56:09 pm UTC","14992864822","Order
","402-7384063-9365162","ubnh75gfam","Prestige Popular Plus Induction Base Pressure Cooker, 2 Litres, Silver","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","CHANCHAL","WEST BENGAL","732123","1,053.57","35.71","-35.71","126.43","0","0","-10.54","-97.47","-130.98","-35.40","0","905.61"
"10-Feb-2021 7:56:15 pm UTC","14992905562","Order
","171-0882835-8463506","DK-ANHV-P5IN","Orient Electric Wendy 1200mm Ceiling Fan with Remote (Metallic Black/Gold)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BORSAD","GUJARAT","388540","2,788.14","33.90","-33.90","501.86","0","0","-27.88","-213.52","-244.26","-35.40","0","2,768.94"
"10-Feb-2021 7:56:47 pm UTC","14992905562","Order
","405-2780821-3815548","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ANAND","GUJARAT","388001","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"10-Feb-2021 8:00:40 pm UTC","14992905562","Order
","403-2869570-0551562","EF-2PD9-UCGN","Samsung Metro 313 (SM-B313E, Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110092","1,923.73","0","0","346.27","0","0","-19.24","-133.93","-62.54","-35.40","0","2,018.89"
"10-Feb-2021 8:00:53 pm UTC","14992864822","Order
","407-8725973-7753910","VF-IIPS-ARMB","Samsung Metro 313 (SM-B313E, Gold)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PATNA","BIHAR","800001","1,932.20","33.90","-33.90","347.80","0","0","-19.32","-134.52","-62.54","-35.40","0","2,028.22"
"10-Feb-2021 8:00:56 pm UTC","14992905562","Order
","404-2549216-1330704","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VELLORE","TAMIL NADU","632002","1,847.32","17.86","-17.86","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"10-Feb-2021 8:01:03 pm UTC","14992864822","Order
","405-0834463-5049914","9M-19W9-8MG1","Bajaj Majesty New SWX-3, 2-Slice Sandwich Toaster (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110022","1,227.12","33.90","-33.90","220.88","0","0","-12.27","-93.98","-130.98","-35.40","0","1,175.37"
"10-Feb-2021 8:01:06 pm UTC","14992905562","Order
","408-0019748-9145118","KY-H34R-68T0","Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400050","3,041.53","0","0","547.47","0","0","-30.42","-232.93","-230.10","-35.40","0","3,060.15"
"10-Feb-2021 8:01:09 pm UTC","14992905562","Order
","171-6908805-7917154","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122001","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"10-Feb-2021 8:04:32 pm UTC","14992905562","Order
","171-4214478-5345915","FH-J7P1-31OU","Wonderchef Nutri-Pot 1000 Watts (Black/Silver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ALIGARH","UTTAR PRADESH","202001","5,923.73","0","0","1,066.27","0","0","-59.24","-536.13","-244.26","-35.40","0","6,114.97"
"10-Feb-2021 8:06:08 pm UTC","14992864822","Order
","171-3669133-0534730","ZK-SODG-3Y3O","Panasonic SR-WA18H (YT) 660-Watt Automatic Cooker Warmer 4.4 Litre with Extra Cooking Pan (Color May Vary)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MAUDA","MAHARASHTRA","441106","2,439.84","33.90","-33.90","439.16","-12.20","-12.20","0","-186.85","-230.10","-35.40","0","2,402.25"
"10-Feb-2021 8:08:58 pm UTC","14992905562","Refund
","171-5177872-9460347","HS-Q6C5-H656","Pigeon by Stovekraft Non-Stick Kadai,150 with SS Lid - Dia 19.7cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700061","-678.57","0","0","-81.43","0","0","6.79","103.14","0","17.70","0","-632.37"
"10-Feb-2021 8:14:58 pm UTC","14992905562","Order
","407-3320048-1301143","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560047","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"10-Feb-2021 8:15:46 pm UTC","14992905562","Order
","402-7725761-2689916","ubnh75gfam","Prestige Popular Plus Induction Base Pressure Cooker, 2 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110016","1,053.57","0","0","126.43","0","0","-10.54","-97.47","-130.98","-35.40","0","905.61"
"10-Feb-2021 8:21:36 pm UTC","14992864822","Adjustment
","405-9930929-9093137","NE-GPH7-Y6XW","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","1,172.75","1,172.75"
"10-Feb-2021 8:27:40 pm UTC","14992905562","Order
","171-5881943-5362711","ZG-JIO1-3A5C","Prestige 1.0 Vegetable Cutter, Green","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AZHIYUR","KERALA","673310","1,220.34","0","0","219.66","0","0","-12.20","-110.45","-88.50","-35.40","0","1,193.45"
"10-Feb-2021 8:27:56 pm UTC","14992905562","Order
","405-3806370-9144323","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ORAI","UTTAR PRADESH","285001","1,847.32","35.71","-35.71","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"10-Feb-2021 8:35:29 pm UTC","14992905562","Order
","171-4820585-7746768","R4-GTBR-SPK3","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 24 cm, 2.16 Liters. Induction Base, Grey, 24 cm, 2.16 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600042","1,186.61","0","0","142.39","0","0","-11.87","-180.35","-130.98","-35.40","0","970.40"
"10-Feb-2021 8:37:53 pm UTC","14992864822","Order
","402-9795090-4724365","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KALOL GANDHINAGAR DISTRICT","GUJARAT","382721","8,622.03","33.90","-33.90","1,551.97","0","0","-86.22","-1,800.80","-62.54","-35.40","0","8,189.04"
"10-Feb-2021 8:53:09 pm UTC","14992905562","Order
","404-4645320-9533168","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","UDUPI","KARNATAKA","576101","1,847.32","0","0","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"10-Feb-2021 9:01:36 pm UTC","14992864822","Adjustment
","405-1638412-2663518","BK-IWE1-7RS1","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","723.78","723.78"
"10-Feb-2021 9:03:54 pm UTC","14992864822","Order
","404-6741048-1333952","CJ-898G-RY8N","Bajaj Ivora Crimson Red 800 Watts, 3 Jar Mixer Grinder with Anti-Germ & Anti-dust Coating-Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THANE","MAHARASHTRA","401209","3,455.93","33.90","-33.90","622.07","0","0","-34.56","-264.66","-187.62","-35.40","0","3,555.76"
"10-Feb-2021 9:08:15 pm UTC","14992905562","Order
","403-0934566-7987537","9Q-TS75-R4P0","Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560064","4,914.41","0","0","884.59","0","0","-49.14","-444.79","-230.10","-35.40","0","5,039.57"
"10-Feb-2021 9:11:11 pm UTC","14992905562","Order
","405-0574648-4935549","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PAURI","UTTARAKHAND","246174","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"10-Feb-2021 9:19:40 pm UTC","14992905562","Order
","402-4728551-6769154","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUKERIAN","PUNJAB","144211","3,388.98","33.90","-288.14","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"10-Feb-2021 9:28:57 pm UTC","14992905562","Order
","406-1884114-6360311","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500086","3,388.98","33.90","-288.14","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"10-Feb-2021 9:30:37 pm UTC","14992864822","Order
","402-4652350-1707546","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","INDORE","MADHYA PRADESH","452003","3,388.98","11.30","-11.30","610.02","0","0","-33.89","-259.55","-201.78","-35.40","0","3,468.38"
"10-Feb-2021 9:30:53 pm UTC","14992864822","Order
","171-6204648-5409918","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SURATHKALL","KARNATAKA","575014","3,388.98","33.90","-288.14","564.26","-15.67","-15.67","0","-240.07","-201.78","-35.40","0","3,190.41"
"10-Feb-2021 9:32:48 pm UTC","14992905562","Order
","171-8887683-7101953","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110085","3,388.98","33.90","-288.14","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"10-Feb-2021 9:34:16 pm UTC","14992864822","Order
","402-4426151-6263567","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ETTUMANOOR","KERALA","686632","3,388.98","0","0","610.02","0","0","-33.89","-259.55","-201.78","-35.40","0","3,468.38"
"10-Feb-2021 9:34:40 pm UTC","14992905562","Order
","402-6243551-5480318","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Landmark Kainat International School Sambhal","UTTAR PRADESH","244302","3,388.98","33.90","-33.90","610.02","0","0","-33.89","-259.55","-201.78","-35.40","0","3,468.38"
"10-Feb-2021 9:35:20 pm UTC","14992864822","Order
","403-1404459-3929946","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SOLAN","HIMACHAL PRADESH","173211","1,270.34","33.90","-33.90","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"10-Feb-2021 9:35:31 pm UTC","14992905562","Refund
","171-1906594-5997913","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NAVI MUMBAI","MAHARASHTRA","410206","-975.42","-33.90","33.90","-175.58","0","0","9.75","67.91","0","53.10","0","-1,020.24"
"10-Feb-2021 9:35:59 pm UTC","14992905562","Order
","405-3283736-1154724","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURGAON","HARYANA","122017","3,388.98","0","-254.24","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"10-Feb-2021 9:39:49 pm UTC","14992905562","Order
","171-2206689-4123530","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","COIMBATORE","TAMIL NADU","641014","3,388.98","0","-254.24","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"10-Feb-2021 9:39:58 pm UTC","14992905562","Order
","406-2989330-0226707","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHODAVARAM","ANDHRA PRADESH","531036","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"10-Feb-2021 9:53:08 pm UTC","14992864822","Order
","171-1185254-3520358","Eurekaforbes_dx_1200w_vacuum","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THOOTHUKKUDI","TAMIL NADU","628653","3,388.98","33.90","-33.90","610.02","0","0","-33.89","-259.54","-201.78","-35.40","0","3,468.39"
"10-Feb-2021 9:56:09 pm UTC","14992864822","Adjustment
","403-3976236-1981907","1N-V2NN-FX2P","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","541.47","541.47"
"10-Feb-2021 10:17:35 pm UTC","14992864822","Order
","171-7532963-0753957","DU-IEA5-JMJ8","Nokia 105 (Dual SIM, Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NAGERCOIL","TAMIL NADU","629002","1,140.68","33.90","-33.90","205.32","0","0","-11.41","-79.42","-62.54","-35.40","0","1,157.23"
"10-Feb-2021 10:21:18 pm UTC","14992864822","Order
","402-3083609-2507544","UB-LKKO-TGRE","Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PUNE","MAHARASHTRA","411015","3,454.46","35.72","-35.72","414.54","-17.27","-17.27","0","-525.03","-152.22","-35.40","0","3,121.81"
"10-Feb-2021 10:21:59 pm UTC","14992905562","Order
","404-3604456-2196349","7I-KPTE-667A","Panasonic SR-WA18H(E) 660-Watt Automatic Cooker Warmer 4.4 Litre (Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600050","1,762.71","0","0","317.29","0","0","-17.63","-134.99","-152.22","-35.40","0","1,739.76"
"10-Feb-2021 10:24:38 pm UTC","14992864822","Order
","405-6212047-0870718","SR-WA22H(SS)","Panasonic SR-WA22H(SS) - 750 Watt Automatic  Cooker Warmer 5.4 Litre Food Steamer","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Hyderabad","TELANGANA","500084","2,232.20","0","0","401.80","0","0","-22.32","-170.95","-201.78","-35.40","0","2,203.55"
"10-Feb-2021 10:25:33 pm UTC","14992905562","Order
","404-9711631-3815549","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400102","1,270.34","0","0","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"10-Feb-2021 10:25:55 pm UTC","14992905562","Order
","171-7662170-0832319","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NOIDA","UTTAR PRADESH","201301","1,270.34","16.95","-16.95","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"10-Feb-2021 10:26:49 pm UTC","14992905562","Order
","404-8947815-9203503","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110016","1,270.34","16.95","-16.95","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"10-Feb-2021 10:40:57 pm UTC","14992905562","Order
","403-4241531-3516343","ZK-SODG-3Y3O","Panasonic SR-WA18H (YT) 660-Watt Automatic Cooker Warmer 4.4 Litre with Extra Cooking Pan (Color May Vary)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560030","2,439.83","0","0","439.17","0","0","-24.40","-186.85","-230.10","-35.40","0","2,402.25"
"10-Feb-2021 10:41:01 pm UTC","14992905562","Order
","407-7755170-8507513","ubngstwvgv","Prestige Apple Plus Aluminium Pressure Cooker, 3 Litres, Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Hyderabad","TELANGANA","500049","1,562.50","8.93","-8.93","187.50","0","0","-15.63","-144.55","-130.98","-35.40","0","1,423.44"
"10-Feb-2021 10:42:07 pm UTC","14992905562","Order
","405-0595409-6865145","ZK-SODG-3Y3O","Panasonic SR-WA18H (YT) 660-Watt Automatic Cooker Warmer 4.4 Litre with Extra Cooking Pan (Color May Vary)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NELLORE","ANDHRA PRADESH","524002","2,439.83","33.90","-33.90","439.17","0","0","-24.40","-186.85","-230.10","-35.40","0","2,402.25"
"10-Feb-2021 10:42:08 pm UTC","14992905562","Tax Withheld","","","TDS - Section 194-O - Tue Feb 09 00:00:00 UTC 2021","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","-514.49","-514.49"
"10-Feb-2021 10:44:23 pm UTC","14992864822","Tax Withheld","","","TDS - Section 194-O - Wed Feb 10 00:00:00 UTC 2021","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-1,662.05","-1,662.05"
"10-Feb-2021 10:45:23 pm UTC","14992864822","Refund
","402-3955911-8231538","M4-HLPZ-H2PT","Wahl Professional Super Taper Hair Clipper","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Air Force station sulur","TAMIL NADU","641401","-3,578.81","-33.90","33.90","-644.19","0","0","35.79","224.25","0","35.40","0","-3,927.56"
"10-Feb-2021 10:55:51 pm UTC","14992905562","Tax Withheld","","","TDS - Section 194-O - Wed Feb 10 00:00:00 UTC 2021","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","-3,651.54","-3,651.54"
"10-Feb-2021 10:56:10 pm UTC","14992905562","Order
","402-4599492-5825140","5E-KEZW-OE0Z","Wonderchef Gas Oven Tandoor, A Combination of oven and tandoor, 4-Pieces, Red and Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","DIBRUGARH","ASSAM","786003","3,219.49","0","0","579.51","0","0","-32.19","-246.56","-230.10","-35.40","0","3,254.75"
"10-Feb-2021 11:01:47 pm UTC","14992864822","Order
","408-6832902-1813955","C2-L653-R55N","Wahl Clipper Color Pro Cordless Rechargeable Hair Clippers, Hair Trimmer, 21 pieces Hair Cutting Kit, Color Coded Guide Combs for Men, Kids and Babies","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MAHBUBNAGAR","TELANGANA","509353","0","0","0","0","0","0","0","0","0","0","0","0"
"10-Feb-2021 11:04:03 pm UTC","14992864822","Order
","406-0731760-8946742","YJ-GHZM-MASH","Prestige Omega Select Plus Mini Handi with SS lid","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MANGALURU","KARNATAKA","575002","991.08","0","0","118.92","-4.96","-4.96","0","-85.13","-109.74","-35.40","0","869.81"
"10-Feb-2021 11:08:15 pm UTC","14992864822","Tax Withheld","","","TDS - Section 194-O - Tue Feb 09 00:00:00 UTC 2021","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-153.07","-153.07"
"10-Feb-2021 11:24:10 pm UTC","14992864822","Refund
","407-1390647-5565928","39-B7FP-GHKY","Panasonic SR-WA10 2.7 L Rice Cooker, Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ANANTAPUR","ANDHRA PRADESH","515001","-1,474.58","-33.90","33.90","-265.42","0","0","14.75","112.93","0","35.40","0","-1,576.92"
"11-Feb-2021 12:07:21 am UTC","14992905562","Order
","403-9082396-3677117","6X-FHML-S0RF","Wahl Professional 08466-424 Super Taper Professional Corded Clipper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","LEH","JAMMU & KASHMIR","194101","3,041.53","0","0","547.47","0","0","-30.42","-402.33","-109.74","-35.40","0","3,011.11"
"11-Feb-2021 12:09:09 am UTC","14992864822","FBA Inventory Fee
","","","FBA Prep Fee: Labeling","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-35.40","-35.40"
"11-Feb-2021 12:10:04 am UTC","14992864822","FBA Inventory Fee
","","","FBA Prep Fee: Labeling","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-35.40","-35.40"
"11-Feb-2021 12:10:45 am UTC","14992864822","FBA Inventory Fee
","","","FBA Prep Fee: Labeling","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-49.56","-49.56"
"11-Feb-2021 12:11:31 am UTC","14992864822","Refund
","403-8580234-3127566","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HIRANAGAR","JAMMU & KASHMIR","184142","-4,607.63","-33.90","33.90","-829.37","0","0","46.08","417.02","0","35.40","0","-4,938.50"
"11-Feb-2021 12:31:37 am UTC","14992864822","Adjustment
","404-5210715-5212303","HS-Q6C5-H656","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","224.93","224.93"
"11-Feb-2021 1:26:42 am UTC","14992864822","Refund
","404-5063334-6250725","39-B7FP-GHKY","Panasonic SR-WA10 2.7 L Rice Cooker, Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","TRIPURANTHAKAM","ANDHRA PRADESH","523330","-1,474.58","0","0","-265.42","0","0","14.75","112.93","0","35.40","0","-1,576.92"
"11-Feb-2021 1:49:06 am UTC","14992864822","Refund
","404-3886834-6648305","39-B7FP-GHKY","Panasonic SR-WA10 2.7 L Rice Cooker, Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","TRIPURANTHAKAM","ANDHRA PRADESH","523330","-1,474.58","0","0","-265.42","0","0","14.75","112.93","0","35.40","0","-1,576.92"
"11-Feb-2021 2:36:01 am UTC","14992864822","Refund
","403-1656989-3570709","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SALEM","TAMIL NADU","636005","-3,155.93","-33.90","33.90","-568.07","0","0","31.56","241.69","0","35.40","0","-3,415.35"
"11-Feb-2021 2:41:28 am UTC","14992864822","Refund
","403-8885821-8823534","LA-HPIM-NGYD","Bajaj ICX Pearl 1900-Watt Induction Cooker (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400010","-2,179.66","-33.90","33.90","-392.34","0","0","21.80","166.92","0","53.10","0","-2,330.18"
"11-Feb-2021 3:34:26 am UTC","14992905562","Order
","403-6003092-2976317","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BILASPUR","HIMACHAL PRADESH","174001","3,388.98","0","-254.24","564.26","0","0","-31.35","-240.07","-201.78","-35.40","0","3,190.40"
"11-Feb-2021 3:35:52 am UTC","14992905562","Order
","407-5553461-9824361","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","FARIDABAD","HARYANA","121004","3,388.98","33.90","-33.90","610.02","0","0","-33.89","-259.55","-201.78","-35.40","0","3,468.38"
"11-Feb-2021 3:55:54 am UTC","14992905562","Order
","171-2904149-6064359","03-VSKX-RZLW","Pigeon by Stovekraft Non-Stick Fry Pan, 28cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700092","740.18","0","0","88.82","0","0","-7.40","-112.50","-130.98","-17.70","0","560.42"
